"","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Namibia","1.5","1.6","1.5","1.6","1.6","1.6","2.0","2.0","2.0","2.1","2.2","2.0","2.5","2.6","2.3"
"Nepal","0.4","0.6","0.3","0.5","0.6","0.4","0.7","0.8","0.5","0.9","1.1","0.8","1.5","1.7","1.2"
"Netherlands","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"New Zealand","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.1"
"Nicaragua","0.6","0.8","0.4","0.6","0.8","0.4","0.6","0.9","0.4","0.8","1.0","0.5","1.2","1.6","0.7"
"Niger","4.2","5.3","3.0","4.2","5.4","3.1","4.7","6.1","3.4","4.9","6.5","3.4","4.9","6.8","3.0"
"Nigeria","3.0","3.7","2.2","3.0","3.8","2.2","3.6","4.7","2.6","3.6","4.8","2.4","3.7","5.0","2.3"
"Norway","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.3","0.2","0.2","0.3","0.2","0.2","0.3","0.2"
"Oman","0.4","0.6","0.1","0.5","0.7","0.1","0.5","0.9","0.1","0.6","0.9","0.1","0.9","1.4","0.1"
"Pakistan","2.3","0.8","3.9","2.3","0.8","4.0","2.5","0.8","4.3","2.2","0.9","3.7","2.8","1.0","4.7"
"Panama","0.4","0.5","0.2","0.4","0.5","0.2","0.6","0.8","0.3","0.7","0.9","0.4","0.6","0.8","0.4"
"Papua New Guinea","1.7","2.6","0.7","1.8","2.8","0.7","1.9","3.0","0.8","2.2","3.3","1.0","2.2","3.3","1.0"
"Paraguay","0.3","0.4","0.3","0.4","0.4","0.3","0.4","0.4","0.4","0.5","0.6","0.5","0.9","0.9","0.8"
"Peru","0.9","1.2","0.6","0.9","1.3","0.6","1.0","1.4","0.7","1.1","1.4","0.7","1.3","1.8","0.9"
"Philippines","0.2","0.3","0.2","0.2","0.3","0.2","0.3","0.4","0.2","0.3","0.4","0.3","0.4","0.4","0.3"
"Poland","0.2","0.3","0.2","0.3","0.4","0.2","0.3","0.4","0.2","0.4","0.6","0.2","0.5","0.7","0.2"
"Portugal","0.3","0.3","0.2","0.3","0.3","0.2","0.3","0.4","0.2","0.3","0.5","0.2","0.4","0.7","0.2"
"Qatar","0.4","0.5","0.1","0.4","0.5","0.1","0.4","0.5","0.1","0.2","0.3","0.0","0.2","0.3","0.1"
"Republic of Korea","0.5","0.7","0.3","0.5","0.8","0.3","0.6","0.9","0.3","0.7","0.9","0.4","1.0","1.3","0.6"
"Republic of Moldova","1.2","1.7","0.7","1.2","1.7","0.7","1.7","2.6","0.9","4.4","6.9","2.1","5.7","8.6","3.0"
"Republic of North Macedonia","0.4","0.5","0.3","0.4","0.5","0.3","0.4","0.6","0.3","0.5","0.6","0.4","0.5","0.5","0.4"
"Romania","0.4","0.5","0.3","0.4","0.5","0.3","0.5","0.6","0.4","0.7","0.8","0.5","1.0","1.3","0.7"
"Russian Federation","1.7","2.7","0.8","1.8","2.8","0.9","2.2","3.5","1.0","2.7","4.4","1.3","2.9","4.6","1.4"
"Rwanda","2.4","3.2","1.5","2.5","3.4","1.6","3.6","4.8","2.5","5.6","7.5","3.8","7.7","9.9","5.6"
